type,template_name,prompt_template,negative_prompt,variables,notes
character,full_body,"A {name} character, {description}, full body from head to toe, dynamic battle stance, game-ready character design, high detail, sharp lines, professional 2D game art, {style_keywords}","blurry, low quality, cropped, cut off, missing limbs, extra limbs, deformed, watermark, text, UI elements","name,description,style_keywords",Ensure both feet visible
character,portrait,"A {name} character portrait, {description}, head and upper body, expressive face, detailed armor/clothing, game character art, professional quality, {style_keywords}","blurry, low quality, deformed face, extra fingers, watermark","name,description,style_keywords",Good for card artwork
icon,single,"A {name} game skill icon, {description}, centered composition, glowing magical effect, dark gradient background fading to edges, professional game UI icon, clean sharp design, high contrast, {style_keywords}, square format, no border, no frame, no text","border, frame, text, label, blurry, multiple icons, busy background, low contrast","name,description,style_keywords",Must have dark bg plate for compositing with border
icon_set,batch,"A set of {count} RPG game skill icons arranged in a single horizontal row on a uniform dark background: {item_list}. CRITICAL: All {count} icons must have IDENTICAL style — same dark gradient background, same glow intensity, same level of detail, same icon size, same spacing. Professional game UI design, {style_keywords}","different styles between icons, inconsistent sizes, overlapping icons, text labels, borders","count,item_list,style_keywords",Best method for style consistency
background,scene,"A {name} game environment, {description}, wide panoramic composition, rich atmospheric lighting, depth layers (foreground/midground/background), professional game background art, high detail, {style_keywords}, 16:9 aspect ratio","characters, UI elements, text, HUD, health bars, buttons, watermark","name,description,style_keywords",Remove all UI/character elements
background,battle,"A {name} battle arena background, {description}, dramatic lighting, particle effects, atmospheric depth, game battle scene, {style_keywords}, 16:9 aspect ratio","characters, UI elements, text, watermark","name,description,style_keywords",Empty scene for character placement
card,complete,"A complete game character card: {name}, {description}, ornate decorative border frame with {border_style} design, character artwork in center, title '{title}' in stylized text at bottom, dark atmospheric background, professional trading card game quality, {style_keywords}","blurry, low quality, plain border, no border, cropped character","name,description,title,border_style,style_keywords",One-shot generation recommended
ui_button,normal,"A {name} game UI button, {description}, clean shape with subtle 3D effect, professional game interface element, centered text/icon, {style_keywords}, on transparent or solid color background","complex details, realistic, photo, blurry, low contrast","name,description,style_keywords",Generate normal state first then derive hover/pressed/disabled
ui_button,states,"Four game button states in a 2x2 grid for '{name}': (top-left) normal state, (top-right) hover state with slight glow, (bottom-left) pressed state darker/inset, (bottom-right) disabled state desaturated. Same button design, {description}, {style_keywords}","different button designs between states, inconsistent sizes","name,description,style_keywords",Split into 4 individual PNGs after generation
tileset,seamless,"A seamless tileable {name} game texture, {description}, perfectly repeating pattern with no visible seams, consistent lighting across tile, top-down perspective, game tileset art, {style_keywords}","visible seams, non-repeating, perspective distortion, 3D angle","name,description,style_keywords",Test by tiling 3x3 after generation
tileset,set,"A set of {count} seamless tileable game tiles in a grid: {item_list}. All tiles same size, same art style, compatible for map building, top-down view, {style_keywords}","inconsistent styles, different perspectives, visible seams","count,item_list,style_keywords",Split and test each tile
sprite,reference,"A {name} character sprite, {description}, neutral standing idle pose, full body centered in frame, clean silhouette, no background clutter, game sprite art ready for animation, {style_keywords}, on solid green #00FF00 background","complex background, multiple characters, action pose, cropped","name,description,style_keywords",Green bg for easy chromakey removal
sprite,action_sheet,"A sprite animation sheet showing {name} character performing {action}: {frame_count} frames in a horizontal strip, evenly spaced, consistent character size and style, {description}, clean poses, {style_keywords}, on solid green #00FF00 background","inconsistent character size between frames, overlapping frames, complex background","name,description,action,frame_count,style_keywords",Split into individual frames then assemble sprite sheet
nine_slice,panel,"A game UI panel/dialog box with decorative border, {description}, ornate corner decorations, clean stretchable center area, {style_keywords}, suitable for 9-slice scaling","complex center pattern, non-symmetrical borders, gradient across full image","description,style_keywords",Border width should be consistent for clean 9-slice
